,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
50,38.34449923038483,1.5290986122067753,1.3548036336898803,0.044752539941119884,5,0.1,rbf,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",0.809499747347145,0.8004042445679637,0.8191005558362809,0.8059626073774634,0.8206164729661445,0.8160687215765539,0.8059626073774634,0.8190091001011123,0.8154701718907987,0.8088978766430738,0.8120992105684,0.006523215010137647,2,0.8568620844564241,0.8591644204851752,0.8567497753818508,0.8596698113207547,0.8561882300089847,0.8567497753818508,0.8574236298292902,0.8569824246167668,0.8579369981470043,0.855915548318266,0.8573642697946369,0.0011628702305340399
51,418.52680506706236,9.157055621177932,0.7120383977890015,0.04617163173540816,5,0.1,linear,"{'C': 5, 'gamma': 0.1, 'kernel': 'linear'}",0.8034360788276907,0.7968671045982819,0.8175846387064174,0.8004042445679637,0.8185952501263264,0.8120262758969177,0.8191005558362809,0.8149646107178968,0.8124368048533872,0.8033367037411526,0.8098752267872316,0.007751107763678553,4,0.8105907457322552,0.8113207547169812,0.80901841868823,0.8109276729559748,0.8089061096136568,0.8096361185983828,0.8088499550763701,0.8093098994890224,0.8095906564096805,0.8106013813240497,0.8098751712604603,0.0008613187534568678
52,87.88139216899872,7.6989053658269935,1.6343511104583741,0.04850569885789113,5,0.25,rbf,"{'C': 5, 'gamma': 0.25, 'kernel': 'rbf'}",0.797877716018191,0.7857503789792825,0.8079838302172815,0.7908034360788276,0.8170793329964628,0.8024254674077818,0.7973724103082365,0.8159757330637007,0.8058645096056622,0.7997977755308392,0.8020930590206266,0.009519523678744818,45,0.8838724168912848,0.8860624438454627,0.8834793351302785,0.8840970350404312,0.8827493261455526,0.8838724168912848,0.8831424079065588,0.8824190016283902,0.8827559099331799,0.8830928182379696,0.8835543111650394,0.0009874358626350724
53,413.40430142879484,13.008464681503963,0.7261047124862671,0.08796400552648394,5,0.25,linear,"{'C': 5, 'gamma': 0.25, 'kernel': 'linear'}",0.8034360788276907,0.7968671045982819,0.8175846387064174,0.8004042445679637,0.8185952501263264,0.8120262758969177,0.8191005558362809,0.8149646107178968,0.8124368048533872,0.8033367037411526,0.8098752267872316,0.007751107763678553,4,0.8105907457322552,0.8113207547169812,0.80901841868823,0.8109276729559748,0.8089061096136568,0.8096361185983828,0.8088499550763701,0.8093098994890224,0.8095906564096805,0.8106013813240497,0.8098751712604603,0.0008613187534568678
54,106.8313660144806,4.436027578066987,2.06625382900238,0.05277957139338709,5,0.5,rbf,"{'C': 5, 'gamma': 0.5, 'kernel': 'rbf'}",0.7923193532086913,0.7766548762001011,0.7983830217281456,0.7741283476503285,0.8049519959575543,0.7928246589186457,0.7938352703385548,0.8048533872598584,0.7881698685540951,0.7922143579373104,0.7918335137753285,0.00973223744813002,49,0.9001010781671159,0.9018418688230009,0.899651841868823,0.9011118598382749,0.8992587601078167,0.8990902964959568,0.8997079964061097,0.9002189903981133,0.9008928070076927,0.8993767196361391,0.9001252218749043,0.0008543501309791494
55,410.664568901062,11.630173605030407,0.707290530204773,0.046425908441709775,5,0.5,linear,"{'C': 5, 'gamma': 0.5, 'kernel': 'linear'}",0.8034360788276907,0.7968671045982819,0.8175846387064174,0.8004042445679637,0.8185952501263264,0.8120262758969177,0.8191005558362809,0.8149646107178968,0.8124368048533872,0.8033367037411526,0.8098752267872316,0.007751107763678553,4,0.8105907457322552,0.8113207547169812,0.80901841868823,0.8109276729559748,0.8089061096136568,0.8096361185983828,0.8088499550763701,0.8093098994890224,0.8095906564096805,0.8106013813240497,0.8098751712604603,0.0008613187534568678
56,113.74122040271759,4.654063223604692,2.925156259536743,0.1093685781750384,5,1,rbf,"{'C': 5, 'gamma': 1, 'kernel': 'rbf'}",0.7938352703385548,0.7791814047498736,0.7993936331480546,0.7700859019706923,0.7993936331480546,0.7827185447195554,0.7852450732693279,0.7937310414560161,0.7810920121334681,0.7876643073811931,0.7872340822314791,0.008959115893303912,53,0.9040880503144654,0.9057165318957772,0.9038072776280324,0.9057165318957772,0.9035826594788859,0.9038072776280324,0.9038072776280324,0.9041495872873266,0.9053287663540907,0.9035319220618788,0.9043535882172298,0.0008332563991751389
57,414.21583144664766,7.875397131937523,0.6733423709869385,0.030837496410584187,5,1,linear,"{'C': 5, 'gamma': 1, 'kernel': 'linear'}",0.8034360788276907,0.7968671045982819,0.8175846387064174,0.8004042445679637,0.8185952501263264,0.8120262758969177,0.8191005558362809,0.8149646107178968,0.8124368048533872,0.8033367037411526,0.8098752267872316,0.007751107763678553,4,0.8105907457322552,0.8113207547169812,0.80901841868823,0.8109276729559748,0.8089061096136568,0.8096361185983828,0.8088499550763701,0.8093098994890224,0.8095906564096805,0.8106013813240497,0.8098751712604603,0.0008613187534568678
58,151.65303468704224,8.11452101260039,4.264332914352417,0.1992409815294266,5,5,rbf,"{'C': 5, 'gamma': 5, 'kernel': 'rbf'}",0.7731177362304194,0.7645275391611925,0.7796867104598282,0.7584638706417383,0.7786760990399192,0.7721071248105104,0.7751389590702374,0.7805864509605662,0.7659251769464105,0.7684529828109201,0.7716682650131743,0.006898881244673006,58,0.9040880503144654,0.9057165318957772,0.9038072776280324,0.9057165318957772,0.9035826594788859,0.9038072776280324,0.9038072776280324,0.9041495872873266,0.9053287663540907,0.9035319220618788,0.9043535882172298,0.0008332563991751389
59,21876.15069181919,8981.998584174933,0.7065731525421143,0.10677904001177455,5,5,linear,"{'C': 5, 'gamma': 5, 'kernel': 'linear'}",0.8034360788276907,0.7968671045982819,0.8175846387064174,0.8004042445679637,0.8185952501263264,0.8120262758969177,0.8191005558362809,0.8149646107178968,0.8124368048533872,0.8033367037411526,0.8098752267872316,0.007751107763678553,4,0.8105907457322552,0.8113207547169812,0.80901841868823,0.8109276729559748,0.8089061096136568,0.8096361185983828,0.8088499550763701,0.8093098994890224,0.8095906564096805,0.8106013813240497,0.8098751712604603,0.0008613187534568678
