,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.4566804885864258,0.11297165537138587,0.01994457244873047,0.005833923342545144,1,8,10,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 10}",0.7908034360788276,0.7923193532086913,0.8120262758969177,0.7877716018191006,0.8120262758969177,0.8069732187973724,0.8100050530570996,0.8164812942366027,0.7957532861476239,0.8068756319514662,0.803103542709062,0.009857558093404207,30,0.8714622641509434,0.8718553459119497,0.8698337825696316,0.8726415094339622,0.8708445642407907,0.8702268643306379,0.870788409703504,0.8704587568083553,0.8719186927957774,0.8691672749733281,0.870919746491888,0.001004888351824839
1,0.6629291534423828,0.15059305943646098,0.03131346702575684,0.009651998204617093,1,8,15,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 15}",0.7973724103082365,0.7963617988883275,0.8196058615462355,0.7902981303688732,0.809499747347145,0.8130368873168267,0.8120262758969177,0.8210313447927199,0.8028311425682507,0.8159757330637007,0.8078039332097233,0.010000184509713819,28,0.8723045822102425,0.8741015274034142,0.872248427672956,0.8735961365678346,0.8738207547169812,0.8717991913746631,0.8721361185983828,0.8713010275703296,0.8737155370879892,0.8724802066370936,0.8727503509839887,0.0009232831904945354
2,0.8143306493759155,0.09597707577784308,0.04906604290008545,0.01613903172536495,1,8,20,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 20}",0.7988883274381,0.7918140474987367,0.8196058615462355,0.7958564931783729,0.8110156644770086,0.8044466902475998,0.8125315816068721,0.8195146612740142,0.8028311425682507,0.8134479271991911,0.8069952397034381,0.009210390216147769,29,0.8736522911051213,0.875730008984726,0.8726415094339622,0.8754492362982929,0.8747753818508536,0.8738207547169812,0.8733153638814016,0.8723117524846987,0.8742770509293054,0.8737155370879892,0.8739688886773334,0.0010564025948850838
3,0.45361254215240476,0.049416985052513074,0.022340869903564452,0.007221573600144126,1,16,10,"{'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 10}",0.8019201616978272,0.7998989388580091,0.8191005558362809,0.7918140474987367,0.818089944416372,0.8115209701869631,0.8120262758969177,0.8230535894843276,0.8063700707785642,0.8099089989888777,0.8093703553642877,0.009123304747514514,26,0.8560197663971248,0.8582097933513028,0.8563566936208445,0.8596136567834681,0.8569743935309974,0.8570867026055705,0.8568620844564241,0.8572070301532932,0.858723117524847,0.8568701218485035,0.8573923360272376,0.0010576523398016045
4,0.601402735710144,0.055034390907664495,0.029021096229553223,0.00830287728294736,1,16,15,"{'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 15}",0.8034360788276907,0.7988883274381,0.82011116725619,0.7902981303688732,0.8170793329964628,0.8115209701869631,0.8079838302172815,0.8235591506572295,0.8094034378159757,0.8073811931243681,0.8089661618889135,0.009454233629111804,27,0.8587713387241689,0.8610736747529201,0.8571428571428571,0.8598944294699011,0.8588274932614556,0.8576482479784366,0.8584344115004492,0.8580493009152675,0.8592284799820316,0.8585546633724521,0.8587624897099941,0.0010662328201215682
5,0.8201053619384766,0.08481615048281627,0.038198018074035646,0.010298389960478126,1,16,20,"{'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 20}",0.8009095502779181,0.8014148559878727,0.821121778676099,0.7933299646286003,0.8145528044466902,0.818089944416372,0.810510358767054,0.826592517694641,0.8083923154701719,0.8114256825075834,0.8106339772873004,0.009593071983062258,25,0.8589959568733153,0.8623090745732255,0.8592767295597484,0.8609613656783468,0.8595575022461814,0.8579851752021563,0.8587713387241689,0.858273906451794,0.8597338424392161,0.8601269021281375,0.8595991793876291,0.001225233657001937
6,0.39444684982299805,0.05022411572384905,0.025631403923034667,0.007937332770862145,2,8,10,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 10}",0.8054573016675088,0.7983830217281456,0.8185952501263264,0.7938352703385548,0.8256695300656898,0.8226376958059626,0.8100050530570996,0.8286147623862488,0.8099089989888777,0.8099089989888777,0.8123015883153292,0.010906720445209071,24,0.8588274932614556,0.859052111410602,0.8575359389038635,0.8603998203054807,0.8574797843665768,0.8553459119496856,0.8570867026055705,0.8552978830928183,0.8582177550676624,0.8571508787691616,0.8576394279732877,0.001506148451585227
7,0.5796485662460327,0.04823105359014318,0.025335049629211424,0.004419587964081461,2,8,15,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 15}",0.7998989388580091,0.8009095502779181,0.821121778676099,0.7963617988883275,0.8231430015159171,0.8261748357756442,0.8145528044466902,0.8235591506572295,0.8164812942366027,0.8063700707785642,0.8128573224111001,0.010520671301977378,23,0.8601190476190477,0.8607367475292004,0.858322102425876,0.8609613656783468,0.858322102425876,0.8579290206648698,0.8586590296495957,0.856645516311977,0.8589477230613735,0.8577123926104778,0.8588355047976641,0.0013126894158683872
8,0.6611517190933227,0.09608389753332407,0.03425843715667724,0.011578907448687009,2,8,20,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 20}",0.8049519959575543,0.8039413845376453,0.8226376958059626,0.7973724103082365,0.8191005558362809,0.8185952501263264,0.8185952501263264,0.8276036400404448,0.8169868554095046,0.8104145601617796,0.8140199598310062,0.00899560275759154,22,0.860792902066487,0.8615229110512129,0.8587151841868823,0.8606244384546271,0.8603436657681941,0.858322102425876,0.8591644204851752,0.8573754843056881,0.8596215396709529,0.8586108147565837,0.8595093463171679,0.0012318281737070805
9,0.4495075225830078,0.13203082187139462,0.028425121307373048,0.01359404764466305,2,16,10,"{'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 10}",0.8130368873168267,0.7993936331480546,0.8226376958059626,0.8004042445679637,0.8226376958059626,0.8145528044466902,0.8206164729661445,0.8235591506572295,0.8119312436804853,0.8149646107178968,0.8143734439113217,0.008292249234361728,21,0.8479896675651393,0.8502358490566038,0.848326594788859,0.8494496855345912,0.8488319856244384,0.8477650494159928,0.8474281221922731,0.8481666573081026,0.8488966253018136,0.8487843225335504,0.8485874559321365,0.0007923165312181397
