,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.28104825019836427,0.027687763624095713,0.020944809913635253,0.015053381951803816,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.8054573016675088,0.7918140474987367,0.8216270843860536,0.8014148559878727,0.8170793329964628,0.8160687215765539,0.8206164729661445,0.8159757330637007,0.8119312436804853,0.8073811931243681,0.8109365986947885,0.008929947744192526,15,0.8116576819407008,0.8127246181491464,0.8100853548966757,0.8124438454627134,0.8106469002695418,0.8107030548068284,0.8098045822102425,0.8102083216351283,0.8108259868605762,0.8113875007018923,0.8110487846933445,0.0009355955738034598
1,0.6941424131393432,0.08957076189679085,0.006183266639709473,0.0011637060166481313,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8089944416371905,0.8004042445679637,0.8130368873168267,0.797877716018191,0.821121778676099,0.8150581101566448,0.8130368873168267,0.8215369059656218,0.8174924165824065,0.80788675429727,0.8116446142535041,0.007579036876615141,13,0.8129492362982929,0.8134546271338724,0.8115453728661276,0.8128369272237197,0.8088499550763701,0.8096922731356694,0.8121069182389937,0.8111628951653658,0.8103767757875232,0.8123420742321298,0.8115317055158064,0.001429809755089286
2,2.0150335311889647,0.3223987439462041,0.006682729721069336,0.003369195729488875,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.8064679130874179,0.7902981303688732,0.8196058615462355,0.7983830217281456,0.818089944416372,0.8170793329964628,0.8221323900960081,0.8159757330637007,0.8129423660262892,0.8083923154701719,0.8109367008799676,0.009637440420329657,14,0.8109276729559748,0.8131738544474394,0.8092430368373764,0.8119384546271339,0.809748427672956,0.8101415094339622,0.8093553459119497,0.8100398674827335,0.8104329271716548,0.8113313493177606,0.8106332445858941,0.0011711080432254854
3,0.2706767559051514,0.03360669568463306,0.00658423900604248,0.0026080765752259077,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8089944416371905,0.7983830217281456,0.8175846387064174,0.7988883274381,0.8246589186457807,0.8175846387064174,0.8251642243557352,0.8260869565217391,0.8159757330637007,0.8124368048533872,0.8145757705656613,0.00954141758167929,1,0.8156446540880503,0.8167677448337826,0.8145215633423181,0.8164308176100629,0.8134546271338724,0.8148584905660378,0.8135669362084457,0.8133527991464989,0.8144758268291313,0.8150373406704475,0.8148110800428647,0.0011362671514074207
4,0.7547796964645386,0.06334646930572675,0.0069812297821044925,0.0041362491939859435,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8069732187973724,0.7973724103082365,0.82011116725619,0.7993936331480546,0.8226376958059626,0.8150581101566448,0.8185952501263264,0.8230535894843276,0.8190091001011123,0.8083923154701719,0.8130596490654399,0.008961319734815325,12,0.8139600179694519,0.8151392632524708,0.8127246181491464,0.8149146451033243,0.813230008984726,0.813510781671159,0.8132861635220126,0.8111067437812343,0.8131281936099725,0.8146442809815262,0.8135644717025023,0.0011293229847552607
5,2.1250428438186644,0.3739268575473865,0.005982780456542968,0.002041005760732747,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.8069732187973724,0.7928246589186457,0.8175846387064174,0.7968671045982819,0.8196058615462355,0.8145528044466902,0.8236483072258717,0.8179979777553084,0.8114256825075834,0.8053589484327603,0.8106839202935168,0.009572316516463463,17,0.8110399820305481,0.8123876909254267,0.8100292003593891,0.8123315363881402,0.8101415094339622,0.8103099730458221,0.8095238095238095,0.809815261946207,0.8108259868605762,0.8113313493177606,0.8107736299831642,0.0009521686136314622
6,0.42716383934020996,0.1516348011706577,0.011369729042053222,0.005520650816937646,0.5,l2,liblinear,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8084891359272359,0.7988883274381,0.8165740272865083,0.7988883274381,0.82011116725619,0.8160687215765539,0.82011116725619,0.8240647118301314,0.8179979777553084,0.8104145601617796,0.8131608123926097,0.008341391638982931,11,0.8151954177897575,0.8162061994609164,0.8141284815813118,0.815532345013477,0.8139600179694519,0.8137915543575921,0.8135669362084457,0.8130720422258408,0.8139704643719468,0.8144758268291313,0.8143899285807871,0.0009198623310454302
7,0.8145268440246582,0.17490369614260512,0.009274840354919434,0.004013759296405787,0.5,l2,lbfgs,"{'C': 0.5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8089944416371905,0.7973724103082365,0.8196058615462355,0.8014148559878727,0.8231430015159171,0.8155634158665993,0.8175846387064174,0.8240647118301314,0.8195146612740142,0.8088978766430738,0.8136155875315689,0.0086400006596722,9,0.8145777178796046,0.815532345013477,0.814240790655885,0.8156446540880503,0.8128369272237197,0.8130615453728661,0.8134546271338724,0.8113313493177606,0.8143635240608681,0.8145881295973946,0.8139631610343498,0.0012474672287215809
8,2.6160151720047,0.3465412130308466,0.01097090244293213,0.0094828912939122,0.5,l2,saga,"{'C': 0.5, 'penalty': 'l2', 'solver': 'saga'}",0.8079838302172815,0.7923193532086913,0.818089944416372,0.7973724103082365,0.8191005558362809,0.8150581101566448,0.8226376958059626,0.8179979777553084,0.8119312436804853,0.8048533872598584,0.810734450864512,0.009478819420720753,16,0.8107030548068284,0.8125561545372866,0.8100292003593891,0.8123315363881402,0.8103661275831087,0.8103099730458221,0.8092430368373764,0.8100398674827335,0.8107136840923129,0.8113313493177606,0.8107623984450759,0.000986872033806044
9,0.5008583545684815,0.12150061481119723,0.011768102645874023,0.005274978057844284,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8084891359272359,0.7993936331480546,0.8165740272865083,0.7998989388580091,0.82011116725619,0.8160687215765539,0.8196058615462355,0.8240647118301314,0.8190091001011123,0.8104145601617796,0.813362985769181,0.00810814276324318,10,0.8147461814914645,0.81598158131177,0.8142969451931716,0.815532345013477,0.8136230907457322,0.813510781671159,0.8133984725965858,0.8127351339210511,0.8137458588354203,0.8139143129878151,0.8141484703767647,0.0009546895329488577
